Emoji,Status,Date Submitted
clam,Declined,6/22/2022
Clamshell Mobile Phone,decline,4/2/2025
Classical Guitar,Declined,9/22/2016
Classical Guitar,Declined,5/17/2024
Cleaner,Declined,5/28/2020
Cleric,Declined,5/28/2020
Clever Face,Under Consideration,2/26/2019
Climate,Declined,7/30/2022
Climate change,Declined,7/24/2017
CLIMATE CHANGE,Declined,5/29/2022
Climate Change,Declined,7/30/2022
Climate Change,Declined,7/31/2024
Climber,Released as Emoji,9/6/2016
Clione,Declined,5/17/2024
Clione,Declined,7/30/2024
Clock tower,decline,4/2/2025
Clothing Iron,Expired,4/2/2019
Coat,Released as Emoji,10/24/2016
Coat Hanger,Declined,5/20/2019
cobblestone,Declined,7/29/2024
Cochlear Implant,Declined,2/6/2020
Cockroach,Released as Emoji,4/2/2019
Coconut,Released as Emoji,10/4/2016
Code,Declined,9/10/2020
Coffee with sleeve,Declined,4/28/2022
Cognac Pennant,decline,4/2/2025
Coin (A),Released as Emoji,7/19/2017
Coin (B),Released as Emoji,9/25/2018
Color guard,Declined,6/2/2017
Color swatches,Declined,2/21/2017
Colored Bottles,Declined,4/23/2019
Colored Circles,Released as Emoji,4/24/2018
COLORED PUZZLE CUBE,Declined,7/31/2024
colour modifiable ribbon,decline,4/2/2025
Colour modifiers,Declined,10/3/2017
Comb,Declined,8/27/2021
Come Here Hand,Declined,1/17/2020
Community (family),Declined,4/16/2019
Community (group),Declined,5/6/2020
Compost,Declined,7/31/2022
Computer Terminal,Declined,5/7/2022
Concha,Declined,8/1/2022
Concrete Emoji,Declined,7/22/2024
Condom,Declined,8/5/2016
Condom,Declined,7/14/2022
Conspiracy Emoji,Declined,4/4/2022
CONTAINER,decline,4/2/2025
Convertible,Expired,9/3/2019
Cooked Turkey,Declined,7/19/2017
Cooking Oil,Under Consideration,4/2/2025
Cooking Pot,Under Consideration,1/22/2019
Coral,Released as Emoji,5/19/2020
Coral (B),Declined,6/9/2020
Cornrows,decline,4/2/2025
Cosmo,Declined,7/20/2022
Cossack,Declined,7/26/2022
cotton,Declined,7/29/2022
COTTON CANDY,Declined,6/29/2022
couch-potato,decline,4/2/2025
cough,decline,4/2/2025
Couscous,Declined,7/31/2024
Cowboy hat,Declined,8/30/2021
COWGIRL AND COWBOY,decline ,4/2/2025
COZY FACE,Declined,7/27/2022
CPR,Declined,1/17/2020
cracked face,Recommended to UTC,4/2/2025
Cracker,Declined,4/5/2022
Cranberry,Declined,7/13/2021
Cranberry,Declined,8/17/2017
Crane Bird,Declined,7/30/2024
Crepe,Declined,7/31/2020
Cricket,Released as Emoji,10/27/2016
CRINGE FACE,decline ,4/2/2025
Crossed Arms,Declined,6/17/2020
Crossed eyes face,Declined,5/27/2024
Crossword,decline,4/2/2025
Crow,Released as Emoji,9/10/2019
Crumpet,Declined,7/31/2022
Crumpet,Declined,7/31/2022
Crutch,Released as Emoji,11/12/2019
Crying skull,decline,4/2/2025
Crystal,Declined,6/4/2024
CT Scan,Declined,12/18/2020
Cuddling,decline,4/2/2025
Curling Stone,Released as Emoji,5/10/2016
Curly Lips,Expired,2/13/2017
Curly Lips,Declined,8/1/2024
Currency of Kazakhstan,Declined,4/8/2024
Currency of Uzbekistan,Declined,4/8/2024
Currywurst,Declined,6/6/2022
Custard Tart,decline,4/2/2025
Cute Face,Declined,2/13/2018
Cutlet,Declined,8/22/2017
CYAN CIRCLE,Declined,4/28/2021
CYAN HEART,Declined,4/28/2021
CYAN SQUARE,Declined,4/28/2021
Cylinder,Declined,7/1/2024
Cymbal,Declined,5/18/2022
Cymbals,Declined,4/11/2022
d20 (Twenty Sided Die),decline,4/2/2025
D20 20-sided die,Declined,10/3/2017
Dab,Declined,7/31/2024
Dabbing Face,Decline,4/2/2025
Dabbing person,Declined,2/3/2020
Dallah,Declined,7/28/2022
Dandelion,Declined,8/30/2021
Dangerous Sun,Declined,3/29/2018
Dark Beer,Declined,3/8/2016
Database,Declined,4/2/2024
Date Fruit,Declined,5/28/2020
Daydreaming face,Declined,6/21/2022
Dazed,decline,4/2/2025
Decorator Paintbrush,Declined,7/31/2024
Deep Thought,declined,4/2/2025
Deer Stalker Hat,Declined,4/2/2018
Defibrillator,Declined,4/2/2024
Dejected Face,Declined,3/29/2018
Delivery Worker,declined,4/2/2025
Dental Chair,Declined,4/23/2019
Dentist,decline ,4/2/2025
Derby Hat with Flower,Declined,7/14/2024
Designer,Declined,10/16/2018
Determined Face,Declined,8/25/2021
dhol,decline ,4/2/2025
Diaper,Declined,2/27/2018
Diaper,Declined,6/11/2019
Digital Calculator,decline,4/2/2025
Dim Sum,Declined,2/3/2020
Dinosaur,Released as Emoji,10/26/2016
Dirt Bike ,Declined,7/27/2024
Dirt/Soil,Declined,4/8/2024
Dirty Sponge,Declined,7/31/2024
Disabilities,Released as Emoji,6/19/2019
Disabled Skier in MonoSki,decline,4/2/2025
Disapproving Face,Declined,9/9/2020
Disguised Face,Released as Emoji,9/25/2018
Disgusted Face,Declined,5/22/2018
Disturbed Face,decline,4/2/2025
Diver,Declined,8/27/2020
divers beer emoji,Declined,4/23/2024
Diya,Released as Emoji,10/3/2017
Dizzy Person,Declined,5/21/2018
DJ,Declined,4/2/2024
DJ Music Producer,Expired,12/5/2017
Dodo,Released as Emoji,1/2/2018
Doge,Declined,4/12/2018
Dogs,Declined,6/22/2016
Domino,Declined,7/22/2020
Donate,Declined,4/3/2018
Donkey (A),Declined,1/11/2018
Donkey (B),Declined,2/27/2018
Donkey (C),Released as Emoji,3/31/2020
Donkey (D),Declined,1/22/2020
Dosa,Expired,6/4/2019
Dotted Line Face,Released as Emoji,10/22/2019
DRAG QUEEN,Declined,7/30/2022
Dragon Fruit,Declined,6/20/2022
Dragonfly,Declined,2/6/2020
Dragonfly,Declined,4/5/2022
Dragonfly,Declined,6/22/2022
drill,Declined,6/12/2022
Drone,Declined,6/28/2022
Drone (A),Expired,2/13/2018
Drone (B),Declined,3/13/2018
Drone (C),Declined,4/2/2018
Drone (D),Declined,5/6/2020
Drooling Face with Heart Eyes,Declined,3/29/2018
Drop Hand,Declined,1/17/2020
Drop of Pee,Declined,4/9/2019
Drowsy Face Headset,Declined,2/20/2018
druze star,Decline,4/2/2025
Dumpling,Released as Emoji,1/19/2016
Dumpster Fire,Declined,4/9/2024
Dumpster Fire,Declined,4/10/2024
Dumpster Fire (A),Expired,11/16/2017
Dumpster Fire (B),Declined,4/12/2018
durian,Declined,7/24/2022
Durian (A),Expired,9/21/2017
Durian (B),Declined,11/20/2018
E-cigarette,Declined,3/29/2018
Earbud in Ear,Declined,7/21/2024
Earrings,Declined,11/19/2019
Earth,Declined,5/16/2024
Earth-Shattering,Declined,5/2/2022
Earthquake,Declined,7/30/2022
Earthquake (A),Declined,7/12/2016
Earthquake (B),Declined,11/19/2019
Easel,Declined,4/20/2021
Easter Egg,Declined,7/28/2024
Eating Face,Declined,8/27/2020
ECG,Declined,12/18/2020
ECG,Declined,4/5/2024
Eel,Declined,2/13/2020
Egg Roll,Declined,9/9/2019
Egg Tart,Declined,5/4/2021
Eggplant mods,Declined,6/13/2017
Electric Bass,Declined,11/19/2019
Electric Charging Station,Declined,7/7/2022
Electric Vehicle,Declined,7/28/2022
Electric Vehicle with Charger (A),Declined,9/19/2019
Electric Vehicle with Charger (B),Declined,3/31/2020
Elevator,Released as Emoji,11/15/2018
Embarrassed face,Declined,4/6/2022
Embroidered shirt,Declined,7/26/2022
Empanada,Declined,9/10/2020
Empathetic face,Declined,7/30/2022
Empire State Building,Expired,1/3/2018
Emu,decline,4/2/2025
Eng/Scot/Wales Flags,Expired,7/7/2016
Equal Sign,Released as Emoji,2/11/2020
Eraser,Expired,4/12/2018
eraser,Expired,5/19/2024
Ermine,Expired,8/22/2019
ERMINE,decline,4/2/2025
Escalator,Declined,7/1/2024
Esperanto flag (A),Declined,4/12/2017
Esperanto flag (B),Declined,6/6/2017
Estate Playing Cards,Declined,4/7/2022
European Dragon,Declined,7/31/2024
EV Charger,Declined,5/10/2024
Evil Eye,Declined,12/20/2017
Excavator,Declined,11/4/2020
Exhausted Tired Face,Declined,11/14/2018
Explosion,Declined,7/31/2022
Eye Bags Face,Released as Emoji,2/26/2019
Eye Twitch Face,Declined,7/31/2022
Eyelid Pull,Declined,7/31/2024
Eyelid Pull Gesture,Expired,2/6/2020
Eyeliner,Expired,2/20/2018
F-35,Declined,4/12/2022
Face Biting Lip,Declined,11/30/2017
Face Blowing a Bubble Gum,Declined,4/18/2021
Face Holding Back Tears,Released as Emoji,2/4/2020
Face Mask,Declined,1/8/2018
Face Revealing Face,Under Consideration,4/2/2025
Face smelling flower ,Declined,12/6/2022
Face Thinks of Love,Declined,6/7/2018
FACE UNDERWATER,Declined,4/11/2022
Face Wearing Blindfold,Declined,7/28/2024
Face Wiping Brow,Declined,5/10/2024
Face with Binoculars ,Declined,4/18/2024
FACE WITH CROSSED EYES,Declined,7/19/2022
Face With Curly Lips,Declined,10/16/2018
Face with Diagonal Mouth,Released as Emoji,7/14/2020
Face with HMD,Declined,4/3/2018
FACE WITH MUSICAL NOTES,Declined,8/1/2021
Face with nose swab,Declined,8/19/2021
Face with palm on cheek,Declined,12/8/2022
Face with pointing hands,Declined,7/17/2022
Face with Puffed Cheeks,Declined,4/2/2024
Face With Question Mark,Declined,7/26/2022
FACE WITH RAISED INDEX,Declined,8/1/2022
Face with umbrella,Declined,4/5/2022
FACE WITH VR HEADSET,Declined,4/22/2022
Facepalm (non-gender),Declined,10/12/2016
FACEPALMING FACE Emoji,Declined,7/30/2021
Falafel,Released as Emoji,4/4/2018
FALLERO TRADITIONAL DRESS,decline ,4/2/2025
Falling Emoji,Declined,7/31/2024
Falling person faceup,Declined,7/24/2024
Fanning Hands,Declined,4/27/2024
FANOOS,Declined,7/31/2022
Fat Person,Declined,4/9/2019
Feather (A),Released as Emoji,6/7/2018
Feather (B),Released as Emoji,8/7/2018
Feeling Loved Face,Declined,12/17/2019
Feet,Declined,11/7/2017
Female Runner,Released as Emoji,11/7/2015
Fence/Wall,Declined,7/26/2024
Ferret (A),Declined,10/30/2020
Ferret (B),Declined,10/30/2020
Fig,Declined,4/26/2020
Fig,Declined,7/26/2022
Figa / Expressive Thumb / FIST WITH INDEX FINGER OVER THUMB,Under Consideration,3/19/2019
Fight Cloud,Released as Emoji,7/2/2024
Filling Heart,Declined,2/3/2020
Finger Heart,Declined,6/4/2019
Fingerprint,Released as Emoji,5/19/2020
Firefly,Declined,11/4/2020
Firefly,Declined,6/16/2022
Firefly,Declined,5/21/2024
First Aid Ointment,Expired,11/30/2017
Flag of Brittany,Declined,10/30/2018
Flag of Northern Cyprus,Declined,7/24/2017
Flame Eyes,Declined,5/12/2024
Flamingo (A),Declined,11/24/2015
Flamingo (B),Released as Emoji,11/30/2017
Flamingo (C),Released as Emoji,4/4/2018
Flash Drive,Declined,3/15/2018
Flat Tyre (Wheel),Under Consideration,4/23/2019
Flip-Flop (B),Declined,4/16/2019
Flipping Hair with Hand,decline,4/2/2025
Flood,Expired,7/24/2017
FLOOD,Declined,7/1/2024
Floss,Declined,4/23/2019
FLOUR,Declined,8/31/2021
Flushed Shouting Face,Declined,5/3/2022
Flute (A),Declined,11/16/2017
Flute (B),Released as Emoji,5/7/2019
Fly,Released as Emoji,10/16/2018
Flying heart,Declined,4/5/2022
Flying Saucer,Released as Emoji,8/2/2016
Folding Hand Fan,Released as Emoji,7/5/2021
Fondue,Released as Emoji,11/14/2018
Food Cart,Under Consideration,8/31/2021
Foot on neck emoji,Declined,7/16/2024
foot on your neck emoji,Declined,7/24/2024
Football Expressive,Declined,2/14/2017
Footprint (Shoeprints),Declined,8/25/2021
Forget-me-not,Declined,4/16/2019
Forgive,Declined,5/6/2020
Forking Right Arrow,decline,4/2/2025
FORKLIFT,Declined,6/21/2022
Forklift,Declined,7/29/2022
Fortune Cookie,Released as Emoji,1/19/2016
Fourth Monkey,Expired,7/10/2017
Freight wagon,Declined,7/8/2021
Fried Chicken,Declined,7/24/2017
friendly emoji,decline,4/2/2025
Friendly-Finger,decline,4/2/2025
Frisian Flag,Declined,7/9/2018
Frowning Poo,Declined,10/31/2017
Frozen Pop,decline ,4/2/2025
Fufu,Expired,6/4/2019
Fungus,Declined,2/13/2020
Galaxy,Declined,7/31/2024
Galleon,Declined,2/13/2020
Game Master,Expired,11/21/2017
Game-Of-Life-Glider,Declined,8/10/2021
gamer,Declined,7/29/2022
Gap Tooth Face,Declined,4/14/2022
Garlic,Released as Emoji,3/20/2018
GAS GIANT,Declined,7/30/2022
Gas Mask,decline,4/2/2025
Gauge,decline,4/2/2025
Gavel,Declined,5/23/2021
Gazing,Declined,7/25/2021
Gear Shift,Declined,2/3/2020
Gefilte Fish,Declined,8/1/2022
Gelato with Three Scoops,Declined,6/6/2024
Gender Gap Fill,Declined,3/16/2016
gender star,Declined,5/21/2024
Geometric Capital S,Declined,7/31/2024
Germ,Declined,9/5/2017
Gesto de hablar,Declined,2/13/2020
Gesto de hablar,Declined,4/16/2024
Gin and Tonic,Declined,4/16/2019
Ginger,Released as Emoji,5/5/2021
Ginger Princess,Declined,7/22/2020
Gingerbread Man,Declined,5/23/2024
Giong,Decline,4/2/2025
Girl Power,Expired,6/22/2016
Glass of Water,Declined,5/19/2020
Glider,Declined,8/12/2019
Glitch Flower,decline ,4/2/2025
Global Warming,Declined,5/16/2024
global warming,Declined,5/19/2024
Global warming,Declined,7/30/2024
Globe Showing Antarctic,Declined,3/24/2020
Globe Showing Arctic,Declined,3/24/2020
GLOBE WITH ARROWS,decline,4/2/2025
Gloriosa,Declined,7/31/2024
Gloves,Released as Emoji,10/24/2016
Glowing Heart,Declined,7/26/2024
Glue,Expired,4/23/2019
Gluten  Free,Declined,1/8/2020
Gluten Free,decline,4/2/2025
Gnome,Declined,4/15/2022
Gold,Expired,6/11/2018
gold,Declined,7/14/2024
Gold Bar,Declined,4/7/2024
gold ring,Expired,4/2/2025
Goldfish,Declined,8/1/2024
Golf ball,Declined,7/26/2024
Goose,Released as Emoji,12/6/2019
Goose (B),Declined,6/9/2020
gopher-face,decline ,4/2/2025
Gourd,Expired,8/25/2021
grapefruit,Declined,7/30/2024
Grass,Declined,7/31/2022
Grateful Arab in Thobe,decline,4/2/2025
Grateful Face,Declined,7/28/2020
Grater,Declined,7/9/2024
gratitude,decline ,4/2/2025
Grave and Incense,Expired,6/19/2018
Gray Circle,decline ,4/2/2025
Gray Heart,Released as Emoji,4/15/2021
Green Grapes,Declined,7/13/2024
Green Pendant,Declined,6/17/2024
Green Thumb,Declined,8/10/2020
Greetings and heartfelt thanks (air hug),Declined,8/30/2021
Grill,Declined,6/2/2017
GRITTER,Declined,7/29/2022
GROCERY BAG FULL OF FOOD,Declined,5/6/2024
Guacamole,Declined,7/31/2022
Guacamole and Lime,Declined,4/16/2018
Guava,Declined,6/22/2022
Guillotine,Declined,7/28/2020
Guinea Pig,Declined,3/21/2020
Guinea pig,Declined,5/13/2024
Gull,Under Consideration,9/10/2019
gun-fingers,Declined,4/5/2022
Gurdwara emoji,Declined,6/1/2021
Gym Dumbbell,Declined,7/30/2024
gymnastics rings,Declined,8/31/2021
Gypsy flag,Declined,8/31/2021
hacker,Declined,4/18/2024
Haggis,Declined,2/19/2019
Hail inscriptions,Declined,7/28/2022
Hair dryer,Declined,4/2/2024
Hair flip emoji,decline ,4/2/2025
HAIR PICK,Released as Emoji,5/31/2021
Hairbrush,Declined,7/22/2021
Hairy Creature,Released as Emoji,8/8/2021
Haitians,Expired,8/3/2016
HaldiKumkum,Declined,4/3/2024
HALF FACE OF THE MOON,Declined,7/21/2022
Hammock,Declined,8/26/2020
Hamsa (A),Declined,3/13/2018
Hamsa (B),Released as Emoji,8/6/2020
Hand Clasp,Declined,7/5/2017
Hand Heart / Heart-Hands,Released as Emoji,2/11/2020
Hand Heart / Heart-Hands,Declined,12/11/2018
Hand Kiss (A),Expired,9/19/2017
Hand Kiss (B) ZWJ,Declined,3/13/2018
Hand Kiss (C) ZWJ,Declined,3/13/2018
